num_zon,nom_localidade,num_local,nom_local,des_endereco,num_cep,nom_bairro,num_secao,qtd_aptos
32,VILA VELHA,1082,UMEF ANA BERNARDES ,"R. SENADOR MONJARDIM, 01",29114710,ARGOLAS,49,274
32,VILA VELHA,1082,UMEF ANA BERNARDES ,"R. SENADOR MONJARDIM, 01",29114710,ARGOLAS,50,276
32,VILA VELHA,1082,UMEF ANA BERNARDES ,"R. SENADOR MONJARDIM, 01",29114710,ARGOLAS,51,276
32,VILA VELHA,1082,UMEF ANA BERNARDES ,"R. SENADOR MONJARDIM, 01",29114710,ARGOLAS,52,277
32,VILA VELHA,1082,UMEF ANA BERNARDES ,"R. SENADOR MONJARDIM, 01",29114710,ARGOLAS,53,276
32,VILA VELHA,1082,UMEF ANA BERNARDES ,"R. SENADOR MONJARDIM, 01",29114710,ARGOLAS,54,279
32,VILA VELHA,1082,UMEF ANA BERNARDES ,"R. SENADOR MONJARDIM, 01",29114710,ARGOLAS,483,276
32,VILA VELHA,1082,UMEF ANA BERNARDES ,"R. SENADOR MONJARDIM, 01",29114710,ARGOLAS,517,276
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,31,306
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,32,306
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,33,305
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,34,305
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,35,305
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,36,305
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,37,306
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,38,302
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,39,306
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,40,303
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,41,308
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,42,306
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,43,304
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,571,305
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,590,317
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,603,302
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,649,305
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,660,302
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,929,313
32,VILA VELHA,1066,CEEFMTI ASSISOLINA ASSIS ,"AV. SÃO SALVADOR, S/ N",29120020,ARIBIRI,954,305
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,44,246
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,45,247
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,46,242
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,47,243
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,48,245
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,63,240
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,64,244
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,65,245
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,66,245
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,67,244
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,68,243
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,448,245
32,VILA VELHA,1074,UMEF OFÉLIA ESCOBAR,"R. RAMIRO LEAL REIS, S/ N",29120220,ARIBIRI,456,247
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,353,322
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,354,321
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,355,324
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,356,324
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,357,321
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,358,320
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,359,318
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,360,320
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,361,322
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,362,332
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,363,321
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,364,322
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,365,323
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,366,322
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,367,323
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,368,324
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,369,324
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,588,327
32,VILA VELHA,1597,COLÉGIO SÃO JOSÉ,"R. LUCIANO DAS NEVES, 500",29100201,CENTRO,920,329
32,VILA VELHA,1619,CONTEC,"RUA SETE DE SETEMBRO, 173",29100301,CENTRO,383,292
32,VILA VELHA,1619,CONTEC,"RUA SETE DE SETEMBRO, 173",29100301,CENTRO,384,290
32,VILA VELHA,1619,CONTEC,"RUA SETE DE SETEMBRO, 173",29100301,CENTRO,385,293
32,VILA VELHA,1619,CONTEC,"RUA SETE DE SETEMBRO, 173",29100301,CENTRO,386,295
32,VILA VELHA,1619,CONTEC,"RUA SETE DE SETEMBRO, 173",29100301,CENTRO,387,292
32,VILA VELHA,1619,CONTEC,"RUA SETE DE SETEMBRO, 173",29100301,CENTRO,388,291
32,VILA VELHA,1619,CONTEC,"RUA SETE DE SETEMBRO, 173",29100301,CENTRO,445,289
32,VILA VELHA,1619,CONTEC,"RUA SETE DE SETEMBRO, 173",29100301,CENTRO,452,291
32,VILA VELHA,1619,CONTEC,"RUA SETE DE SETEMBRO, 173",29100301,CENTRO,624,286
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,370,359
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,371,357
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,376,355
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,377,356
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,378,357
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,379,359
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,380,358
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,381,358
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,382,356
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,389,359
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,390,357
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,583,356
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,587,357
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,592,356
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,593,361
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,597,358
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,604,356
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,612,358
32,VILA VELHA,1627,COLÉGIO MARISTA,"AV. CHAMPAGNAT, 925",29100011,CENTRO,619,359
